,fluxes,kcat,MW,kcat_MW,equ
EX_ch4_e,0.0,,,,ch4_e --> 
FEENTERabcpp,0.0,,,,atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c
FECRMabcpp,0.0,,,,atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c
GAMtex_num1,0.0,,,,gam_e --> gam_p
GBBTNtex_num1,0.0,,,,gbbtn_e --> gbbtn_p
ARBt2rpp,0.0,,,,arab__L_p + h_p --> arab__L_c + h_c
DAPabcpp,0.0,,,,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
CO2tpp,0.0,,,,co2_p --> co2_c
DHAtpp,0.0,,,,dha_p --> dha_c
DMSOR1pp,0.0,32437.32175,129.2504,250.9649622,dmso_p + mql8_c --> dms_p + h2o_p + mqn8_c
ARGabcpp_num1,0.0,,,,arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c
ARGAGMt7pp,0.0,,,,agm_c + arg__L_p --> agm_p + arg__L_c
ASCBptspp,0.0,,,,ascb__L_p + pep_c --> ascb6p_c + pyr_c
ASNt2rpp,0.0,,,,asn__L_p + h_p --> asn__L_c + h_c
ASPabcpp,0.0,,,,asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c
ASPt2pp,0.0,,,,asp__L_p + h_p --> asp__L_c + h_c
ASPt2_2pp,0.0,,,,asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c
ASPt2_3pp_num1,0.0,,,,asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c
HIStex_num1,0.0,,,,his__L_e --> his__L_p
HXAtex_num1,0.0,,,,hxa_e --> hxa_p
HYXNtex_num1,0.0,,,,hxan_e --> hxan_p
IDONtex_num1,0.0,,,,idon__L_e --> idon__L_p
ILEtex_num1,0.0,,,,ile__L_e --> ile__L_p
INSTtex_num1,0.0,,,,inost_e --> inost_p
INStex,0.0,,,,ins_e --> ins_p
Ktex_num1,0.019519300000000003,,,,k_e --> k_p
D_LACtex_num1,0.0,,,,lac__D_e --> lac__D_p
NTD8pp_num1,0.0,15863.734390000001,104.4142,151.9308139,dgmp_p + h2o_p --> dgsn_p + pi_p
FRULYStex_num1,0.0,,,,frulys_e --> frulys_p
EX_fad_e,0.0,,,,fad_e --> 
GALCTt2rpp_num1,0.0,,,,galct__D_p + h_p --> galct__D_c + h_c
GALt2pp,0.0,,,,gal_p + h_p --> gal_c + h_c
ASPtex_num1,0.0,,,,asp__L_e --> asp__L_p
ABUTt2pp,0.0,,,,4abut_p + h_p --> 4abut_c + h_c
CYSabcpp,0.0,,,,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c
SBTptspp,0.0,,,,pep_c + sbt__D_p --> pyr_c + sbt6p_c
TREHpp,0.0,42399.81511,63.6367,666.2792871,h2o_p + tre_p --> 2.0 glc__D_p
CYTBDpp_num1,0.0,49127.83924,100.3437,489.59565210000005,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c
CYTBD2pp,0.0,28476.710769999998,100.3437,283.79171560000003,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c
ACALDtpp,0.0,,,,acald_p --> acald_c
ACt2rpp,0.0,,,,ac_p + h_p --> ac_c + h_c
EX_fe3dcit_e,0.0,,,,fe3dcit_e --> 
EX_fe3hox_e,0.0,,,,fe3hox_e --> 
EX_fecrm_e,0.0,,,,fecrm_e --> 
EX_feenter_e,0.0,,,,feenter_e --> 
EX_feoxam_e,0.0,,,,feoxam_e --> 
EX_cbi_e,0.0,,,,cbi_e --> 
EX_arbtn_fe3_e,0.0,,,,arbtn_fe3_e --> 
EX_cpgn_e,0.0,,,,cpgn_e --> 
EX_adocbl_e,0.0,,,,adocbl_e --> 
ATPS4rpp_num1,0.0,6754830.271000001,543.6444,12425.0894,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c
INDOLEtex_num1,0.0,,,,indole_e --> indole_p
L_LACtex_num1,0.0,,,,lac__L_e --> lac__L_p
ACt4pp,0.0005205,,,,ac_p + na1_p --> ac_c + na1_c
ADEt2rpp_num1,0.0,,,,ade_p + h_p --> ade_c + h_c
ADNt2pp_copy1_num1,0.0,,,,adn_p + h_p --> adn_c + h_c
ADNt2pp_copy2,0.0,,,,adn_p + h_p --> adn_c + h_c
ALAabcpp,0.0,,,,ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c
ALLabcpp,0.0,,,,all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c
ALLTNt2rpp,0.0,,,,alltn_p + h_p --> alltn_c + h_c
ARBabcpp,0.0,,,,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
ECOAH8_num1,0.0,18863.035219999998,77.0722,244.7449952,3hodcoa_c --> h2o_c + od2coa_c
GLCDpp_num1,0.0,43571.8008,86.7474,502.2836512,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
GUAtpp_num1,0.0,,,,gua_p --> gua_c
HYD2pp_num1,0.0,7210616.458,482.9335,14930.86824,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c
HYXNtpp_num1,0.0,,,,hxan_p --> hxan_c
NACtpp,0.0,,,,nac_p --> nac_c
FE3DCITabcpp,0.0,,,,atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
CPGNtonex,0.0,,,,cpgn_e + h_p --> cpgn_p + h_c
GLCRtex_num1,0.0,,,,glcr_e --> glcr_p
GLCNtex_num1,0.0,,,,glcn_e --> glcn_p
GLCURtex_num1,0.0,,,,glcur_e --> glcur_p
GLNtex_num1,0.0,,,,gln__L_e --> gln__L_p
O2tex_num1,7.9248812402239315,,,,o2_e --> o2_p
EX_ppa_e,0.0,,,,ppa_e --> 
OCTAtex_num1,0.0,,,,octa_e --> octa_p
ORNtex_num1,0.0,,,,orn_e --> orn_p
ECOAH5_num1,0.0,45024.423839999996,77.0722,584.1850089,3hddcoa_c --> dd2coa_c + h2o_c
DHFS,6.690000000000575e-05,828.0,45.4057,18.23559597,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
CITt7pp,0.0,,,,cit_p + succ_c --> cit_c + succ_p
CRNt7pp,0.0,,,,crn_p + gbbtn_c --> crn_c + gbbtn_p
EX_ni2_e,0.0,,,,ni2_e --> 
EX_no_e,0.0,,,,no_e --> 
CHLabcpp,0.0,,,,atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c
DGSNt2pp,0.0,,,,dgsn_p + h_p --> dgsn_c + h_c
DINSt2pp,0.0,,,,din_p + h_p --> din_c + h_c
DURIt2pp_num1,0.0,,,,duri_p + h_p --> duri_c + h_c
FE2abcpp,0.0,,,,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
FRUptspp,0.0,,,,fru_p + pep_c --> f1p_c + pyr_c
FUCtpp,0.0,,,,fuc__L_p + h_p --> fuc__L_c + h_c
FUMt2_2pp,0.0,,,,fum_p + 2.0 h_p --> fum_c + 2.0 h_c
FUMt2_3pp_num1,0.0,,,,fum_p + 3.0 h_p --> fum_c + 3.0 h_c
FEENTERtonex,0.0,,,,feenter_e + h_p --> feenter_p + h_c
CSNt2pp,0.0,,,,csn_p + h_p --> csn_c + h_c
CYNTt2pp,0.0,,,,cynt_p + h_p --> cynt_c + h_c
CYTDt2pp_copy1_num1,0.0,,,,cytd_p + h_p --> cytd_c + h_c
CYTDt2pp_copy2,0.0,,,,cytd_p + h_p --> cytd_c + h_c
DADNt2pp_num1,0.0,,,,dad_2_p + h_p --> dad_2_c + h_c
DCYTt2pp_num1,0.0,,,,dcyt_p + h_p --> dcyt_c + h_c
DDGLCNt2rpp,0.0,,,,2ddglcn_p + h_p --> 2ddglcn_c + h_c
RMNtex_num1,0.0,,,,rmn_e --> rmn_p
EX_meoh_e,2e-07,,,,meoh_e --> 
MALTTRtexi,0.0,,,,malttr_e --> malttr_p
MALTTTRtexi,0.0,,,,maltttr_e --> maltttr_p
MALTPTtexi,0.0,,,,maltpt_e --> maltpt_p
MALTtexi,0.0,,,,malt_e --> malt_p
GLCtex_copy1,20.602440637460894,,,,glc__D_e --> glc__D_p
FE3DCITtonex,0.0,,,,fe3dcit_e + h_p --> fe3dcit_p + h_c
PHEtex_num1,0.0,,,,phe__L_e --> phe__L_p
PItex_num1,0.096460600000011,,,,pi_e --> pi_p
ACGAMK,0.0,21792.22839,33.0427,659.517182,acgam_c + atp_c --> acgam6p_c + adp_c + h_c
METS_num1,0.0,1116.0,135.997,8.206063368999999,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
EX_cu2_e,0.0,,,,cu2_e --> 
CYSabc2pp,0.0,,,,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c
PRASCSi,0.04477940000000698,12600.0,80.985,155.5843675,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c
TRSARr_num1,0.0,53910.27997,123.2023,437.57527230000005,2h3oppan_c + h_c + nadh_c --> glyc__R_c + nad_c
LYXI,0.0,47448.98608,188.7978,251.32171069999998,lyx__L_c --> xylu__L_c
EX_pheme_e,0.0,,,,pheme_e --> 
PNTOtex_num1,0.0,,,,pnto__R_e --> pnto__R_p
PPPNtex_num1,0.0,,,,pppn_e --> pppn_p
PPTtex_num1,0.0,,,,ppt_e --> ppt_p
PTRCtex_num1,0.0,,,,ptrc_e --> ptrc_p
PYRtex_num1,0.0,,,,pyr_e --> pyr_p
DSERtex_num1,0.0,,,,ser__D_e --> ser__D_p
SERtex_num1,0.0,,,,ser__L_e --> ser__L_p
SO4tex_num1,0.025181999999999972,,,,so4_e --> so4_p
SPMDtex_num1,0.0,,,,spmd_e --> spmd_p
SUCCtex_num1,0.0,,,,succ_e --> succ_p
SUCRtex_num1,0.0,,,,sucr_e --> sucr_p
TARTRtex_num1,0.0,,,,tartr__L_e --> tartr__L_p
TAURtex_num1,0.0,,,,taur_e --> taur_p
THRtex_num1,0.0,,,,thr__L_e --> thr__L_p
THMDtex_num1,0.0,,,,thymd_e --> thymd_p
CBIuabcpp,0.0,,,,atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c
METDtex_num1,0.0,,,,met__D_e --> met__D_p
METtex_num1,0.0,,,,met__L_e --> met__L_p
MNLtex_num1,0.0,,,,mnl_e --> mnl_p
NAtex_num1,0.0,,,,na1_e --> na1_p
NACtex_num1,0.0,,,,nac_e --> nac_p
NH4tex_num1,1.0661796000000354,,,,nh4_e --> nh4_p
URIH_num1,0.0,12358.14336,33.8229,365.3779942,h2o_c + uri_c --> rib__D_c + ura_c
XTSNH,0.0,482024.5754,32.5608,14803.83085,h2o_c + xtsn_c --> rib__D_c + xan_c
INSH,0.024322800000000006,36111.155,32.5608,1109.037708,h2o_c + ins_c --> hxan_c + rib__D_c
BUTtex_num1,0.0,,,,but_e --> but_p
CHLtex_num1,0.0,,,,chol_e --> chol_p
CO2tex_num1,0.0,,,,co2_e --> co2_p
CRNtex_num1,0.0,,,,crn_e --> crn_p
PPK2,0.0,39038.030569999995,160.863,242.6787426,atp_c + ppi_c --> adp_c + pppi_c
DINStex_num1,0.0,,,,din_e --> din_p
DMStex_num1,0.0,,,,dms_e --> dms_p
CSNtex_num1,0.0,,,,csn_e --> csn_p
CYNTtex_num1,0.0,,,,cynt_e --> cynt_p
CYStex_num1,0.0,,,,cys__L_e --> cys__L_p
CYTDtex_num1,0.0,,,,cytd_e --> cytd_p
DCAtex_num1,0.0,,,,dca_e --> dca_p
DCYTtex,0.0,,,,dcyt_e --> dcyt_p
DGSNtex_num1,0.0,,,,dgsn_e --> dgsn_p
MTHFR2,0.015435899999999999,9720.0,132.4109,73.40785389,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
ASPO3,0.0,10440.93368,60.3374,173.0424858,asp__L_c + q8_c --> h_c + iasp_c + q8h2_c
ASPO5,0.0,9646.312734000001,60.3374,159.8728605,asp__L_c + fum_c --> h_c + iasp_c + succ_c
ASPO4,0.0,9316.275055,60.3374,154.40299140000002,asp__L_c + mqn8_c --> h_c + iasp_c + mql8_c
ASPO6,0.00022780000000022227,15120.0,60.3374,250.5908442,asp__L_c + o2_c --> h2o2_c + h_c + iasp_c
LCTStex_num1,0.0,,,,lcts_e --> lcts_p
LEUtex_num1,0.0,,,,leu__L_e --> leu__L_p
LYStex_num1,0.0,,,,lys__L_e --> lys__L_p
LYXtex_num1,0.0,,,,lyx__L_e --> lyx__L_p
MANtex_num1,0.0,,,,man_e --> man_p
MAN6Ptex_num1,0.0,,,,man6p_e --> man6p_p
MELIBtex_num1,0.0,,,,melib_e --> melib_p
DMSOtex_num1,0.0,,,,dmso_e --> dmso_p
DURItex,0.0,,,,duri_e --> duri_p
EX_mal__D_e,0.0,,,,mal__D_e --> 
FRUtex_num1,0.0,,,,fru_e --> fru_p
FUCtex_num1,0.0,,,,fuc__L_e --> fuc__L_p
FUMtex_num1,0.0,,,,fum_e --> fum_p
ACACT5r_num1,0.0,48979.49998,81.7524,599.1200256,accoa_c + dcacoa_c <-- 3oddcoa_c + coa_c
MALDDH,0.0,21531.68437,40.3149,534.0875053999999,mal__D_c + nad_c --> co2_c + nadh_c + pyr_c
FE2tex_num1,0.0016060999999999998,,,,fe2_e --> fe2_p
NMNtex_num1,0.0,,,,nmn_e --> nmn_p
NO2tex_num1,0.0,,,,no2_e --> no2_p
DHPS2,6.690000000000575e-05,720.0,61.2302,11.75890329,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c
MTHFC,0.08794560000000702,248400.0,62.0875,4000.805315,h2o_c + methf_c --> 10fthf_c + h_c
MTHFD,0.08794560000000702,248400.0,62.0875,4000.805315,mlthf_c + nadp_c --> methf_c + nadph_c
BUTt2rpp,0.0,,,,but_p + h_p --> but_c + h_c
CADVtpp,0.0,,,,15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c
QULNS,0.00022780000000022227,1656.0,76.4816,21.65226669,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
ALKP,0.0,10071.37347,20.7798,484.671338,dhap_c + h2o_c --> dha_c + pi_c
GDPtex_num1,0.0,,,,gdp_e --> gdp_p
EX_cobalt2_e,0.0,,,,cobalt2_e --> 
TMAtex_num1,0.0,,,,tma_e --> tma_p
TMAOtex_num1,0.0,,,,tmao_e --> tmao_p
TREtex_num1,0.0,,,,tre_e --> tre_p
L_LACD3_num1,0.0,61053.04188,104.2689,585.534535,lac__L_c + mqn8_c --> mql8_c + pyr_c
L_LACD2_num1,0.0,93550.12703999999,104.2689,897.200671,lac__L_c + q8_c --> pyr_c + q8h2_c
ACACT6r_num1,0.0,40632.79266,46.5305,873.2507207,accoa_c + ddcacoa_c <-- 3otdcoa_c + coa_c
TRPtex_num1,0.0,,,,trp__L_e --> trp__L_p
TSULtex_num1,0.0,,,,tsul_e --> tsul_p
TYRtex_num1,0.013811899999999998,,,,tyr__L_e --> tyr__L_p
URAtex_num1,0.0,,,,ura_e --> ura_p
UREAtex_num1,0.0,,,,urea_e --> urea_p
URItex,0.0,,,,uri_e --> uri_p
VALtex_num1,0.0,,,,val__L_e --> val__L_p
XANtex_num1,0.0,,,,xan_e --> xan_p
XYLtex_num1,0.0,,,,xyl__D_e --> xyl__D_p
ABUTtex_num1,0.0,,,,4abut_e --> 4abut_p
FORtppi_num1,0.0,,,,for_c --> for_p
DATPHs,0.0,,,,datp_c + h2o_c + h_c --> ditp_c + nh4_c
GLCTR1,0.0,19615.952869999997,42.2841,463.90848739999996,icolipa_c + udpg_c --> gicolipa_c + h_c + udp_c
LIPAabcpp,0.0,14115.54858,128.9214,109.4895695,atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c
LIPACabcpp,0.0,10250.91946,128.9214,79.51293936,atp_c + h2o_c + lipa_cold_c --> adp_c + h_c + lipa_cold_p + pi_c
GGGABADr,0.0,20624.58608,53.4186,386.09372169999995,ggbutal_c + h2o_c + nadp_c --> gg4abut_c + 2.0 h_c + nadph_c
EX_mso3_e,0.0,,,,mso3_e --> 
EX_23camp_e,0.0,,,,23camp_e --> 
EX_23cgmp_e,0.0,,,,23cgmp_e --> 
EX_23cump_e,0.0,,,,23cump_e --> 
EX_3amp_e,0.0,,,,3amp_e --> 
EX_3gmp_e,0.0,,,,3gmp_e --> 
EX_3ump_e,0.0,,,,3ump_e --> 
EX_glyc__R_e,0.0,,,,glyc__R_e --> 
EX_eca4colipa_e,0.0,,,,eca4colipa_e --> 
GLYOX3,0.0,9301.150228,62.3809,149.1025334,h2o_c + mthgxl_c --> h_c + lac__D_c
FDMO3,0.0,19785.56126,166.9451,118.51537579999999,ethso3_c + fmnh2_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c
FDMO4,0.0,14910.811580000001,166.9451,89.31565874,butso3_c + fmnh2_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c
BUTSO3abcpp_num1,0.0,,,,atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c
ETHSO3abcpp,0.0,,,,atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c
EX_sel_e,0.0,,,,sel_e --> 
EX_hg2_e,0.0,,,,hg2_e --> 
O16GLCT1,0.0,28037.51536,43.1882,649.1938853999999,aragund_c + udpg_c --> garagund_c + h_c + udp_c
O16AP2pp,0.0,12811.16978,81.199,157.7749699,o16a2und_p + o16aund_p --> h_p + o16a3und_p + udcpdp_p
O16AP3pp,0.0,16964.838490000002,81.199,208.9291554,o16a3und_p + o16aund_p --> h_p + o16a4und_p + udcpdp_p
O16A4Lpp,0.0,21752.964519999998,46.8777,464.0365146000001,colipa_p + o16a4und_p --> h_p + o16a4colipa_p + udcpdp_p
MALTATr,0.0,33857.47486,60.288000000000004,561.5955888,accoa_c + malt_c --> acmalt_c + coa_c
DHBSH,0.0,,,,23dhbzs_c + h2o_c --> 23dhb_c + ser__L_c
ENTERES,0.0,11061.15945,45.6519,242.2935179,enter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + 3.0 h_c
FEOXAMUtex,0.0,,,,feoxam_un_p + h_p --> feoxam_un_e + h_c
ARBTNtpp,0.0,,,,arbtn_c + h_p --> arbtn_p + h_c
ARBTNtex,0.0,,,,arbtn_p + h_p --> arbtn_e + h_c
23CAMPtex_num1,0.0,,,,23camp_e --> 23camp_p
23CCMPtex_num1,0.0,,,,23ccmp_e --> 23ccmp_p
23CUMPtex_num1,0.0,,,,23cump_e --> 23cump_p
23CGMPtex_num1,0.0,,,,23cgmp_e --> 23cgmp_p
3AMPtex_num1,0.0,,,,3amp_e --> 3amp_p
3CMPtex_num1,0.0,,,,3cmp_e --> 3cmp_p
LADGMDH,0.0,25938.68088,53.11600000000001,488.340253,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c
ALAGLUE,0.0,73466.26981,34.674,2118.77112,LalaDglu_c --> LalaLglu_c
FEENTERtpp,0.0,,,,enter_c + h_p --> enter_p + h_c
FEENTERtex,0.0,,,,enter_p + h_p --> enter_e + h_c
FE3HOXUtpp,0.0,,,,fe3hox_un_p + h_p --> fe3hox_un_e + h_c
FEOXAMUtpp,0.0,,,,feoxam_un_c + h_p --> feoxam_un_p + h_c
FECRMUtpp,0.0,,,,fecrm_un_c + h_p --> fecrm_un_p + h_c
FE3HOXR2,0.0,,,,2.0 fe3hox_c + fmnh2_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + fmn_c + 2.0 h_c
PTRCt2pp_num1,0.0,,,,h_p + ptrc_p --> h_c + ptrc_c
GGGABAH,0.0,5814339.581,56.0261,103779.12400000001,gg4abut_c + h2o_c --> 4abut_c + glu__L_c
FRULYSK,0.0,26674.19432,28.3318,941.4931038999999,atp_c + frulys_c --> adp_c + frulysp_c + h_c
FDMO6,0.0,9703.843927,166.9451,58.12595834,fmnh2_c + o2_c + sulfac_c --> fmn_c + glx_c + h2o_c + h_c + so3_c
SULFACabcpp,0.0,,,,atp_c + h2o_c + sulfac_p --> adp_c + h_c + pi_c + sulfac_c
ETHSO3tex_num1,0.0,,,,ethso3_e --> ethso3_p
BUTSO3tex_num1,0.0,,,,butso3_e --> butso3_p
LIPOtex_num1,0.0,,,,lipoate_e --> lipoate_p
CYANSTpp,0.0,10162.25352,11.4753,885.576283,cyan_p + tsul_p --> h_p + so3_p + tcynt_p
MCPST,0.0,11568.74394,30.8118,375.4647226,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c
PHEMEabcpp,0.0,,,,atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_p + pi_c
METSOX1abcpp,0.0,,,,atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c
GALBDtex_num1,0.0,,,,gal_bD_e --> gal_bD_p
LIPAHT2ex,0.0,,,,colipa_e + h_e + hdca_e --> h2o_e + hacolipa_e
LIPAHTex,0.0,,,,h_e + hdca_e + lipa_e --> h2o_e + halipa_e
ECAP1pp,0.0,53500.344260000005,135.966,393.48325510000006,2.0 unagamuf_p --> eca2und_p + h_p + udcpdp_p
UDCPDPpp_num1,0.0,22302.93351,29.7588,749.4567493,h2o_p + udcpdp_p --> h_p + pi_p + udcpp_p
ECAP2pp,0.0,113152.0132,135.966,832.2081491,eca2und_p + unagamuf_p --> eca3und_p + h_p + udcpdp_p
ECA4OALpp,0.0,9951.766805,46.8777,212.2921305,colipa_p + eca4und_p --> eca4colipa_p + h_p + udcpdp_p
FE3Ri,0.0,41567.57582,26.241999999999997,1584.009444,fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
FE3HOXR3,0.0,,,,2.0 fe3hox_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + ribflv_c
FEENTERR1,0.0,,,,fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c
FEENTERR3,0.0,,,,2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
SULFACtex_num1,0.0,,,,sulfac_e --> sulfac_p
EX_sulfac_e,0.0,,,,sulfac_e --> 
EX_butso3_e,0.0,,,,butso3_e --> 
EX_ethso3_e,0.0,,,,ethso3_e --> 
NODOy,0.0,18721.97778,43.8677,426.78275310000004,nadph_c + 2.0 no_c + 2.0 o2_c --> h_c + nadp_c + 2.0 no3_c
GALM2pp,0.0,52658.36885,38.1905,1378.834235,gal_bD_p --> gal_p
CU1abcpp,0.0,,,,atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c
HG2abcpp,0.0,,,,atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c
GLCTR3,0.0,14212.741919999999,39.0403,364.0530918,ggagicolipa_c + udpg_c --> gggagicolipa_c + h_c + udp_c
HEPT4,0.0,66050.8024,41.7295,1582.8323460000001,adphep_LD_c + gggagicolipa_c --> adp_c + colipa_c + h_c
LA4NTpp,0.0,30335.10919,62.5426,485.0311498,colipa_p + uLa4n_p --> acolipa_p + udcpp_p
NODOx,0.0,34540.483980000005,43.8677,787.3785035,nadh_c + 2.0 no_c + 2.0 o2_c --> h_c + nad_c + 2.0 no3_c
NOtex_num1,0.0,,,,no_e --> no_p
NOtpp,0.0,,,,no_p --> no_c
NHFRBO,0.0,76271.50746000001,258.3403,295.2365831,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c
N2Otpp,0.0,,,,n2o_p --> n2o_c
N2Otex_num1,0.0,,,,n2o_e --> n2o_p
CRNt8pp,0.0,,,,crn__D_c + crn_p --> crn__D_p + crn_c
CRNt2rpp,0.0,,,,crn_p + h_p --> crn_c + h_c
CRNDt2rpp,0.0,,,,crn__D_p + h_p --> crn__D_c + h_c
CTBTt2rpp,0.0,,,,ctbt_p + h_p --> ctbt_c + h_c
42A12BOOXpp,0.0,12329.96585,168.7573,73.06330363,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p
TYROXDApp,0.0,12377.02951,168.7573,73.34218733,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p
PACALDt2rpp,0.0,,,,h_p + pacald_p --> h_c + pacald_c
PEAMNtex_num1,0.0,,,,peamn_e --> peamn_p
PACALDtex_num1,0.0,,,,pacald_e --> pacald_p
LIPOt2pp,0.0,,,,h_p + lipoate_p --> h_c + lipoate_c
NTRIR4pp,0.0,752249.2273,134.0271,5612.665105,2.0 h_p + 3.0 mql8_c + no2_p --> 2.0 h2o_p + 3.0 mqn8_c + nh4_p
NTRIR3pp,0.0,1003797.469,134.0271,7489.511218000001,2.0 h_p + no2_p + 3.0 q8h2_c --> 2.0 h2o_p + nh4_p + 3.0 q8_c
INOSTt4pp,0.0,,,,inost_p + na1_p --> inost_c + na1_c
PHEMEtiex,0.0,,,,pheme_p --> pheme_e
AGM3PA,0.0,24213.93207,20.5362,1179.085326,anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
CYANtex_num1,0.0,,,,cyan_e --> cyan_p
SO3tex_num1,0.0,,,,so3_e --> so3_p
TCYNTtex_num1,0.0,,,,tcynt_e --> tcynt_p
ACANTHAT,0.0,14042.58626,64.5492,217.5485716,accoa_c + anth_c --> acanth_c + coa_c
METSOX2abcpp,0.0,,,,atp_c + h2o_c + metsox_R__L_p --> adp_c + h_c + metsox_R__L_c + pi_c
METSOX1tex_num1,0.0,,,,metsox_S__L_e --> metsox_S__L_p
METSOX2tex_num1,0.0,,,,metsox_R__L_e --> metsox_R__L_p
3UMPtex_num1,0.0,,,,3ump_e --> 3ump_p
3GMPtex_num1,0.0,,,,3gmp_e --> 3gmp_p
FALDtpp,0.0,,,,fald_p --> fald_c
EX_tym_e,0.0,,,,tym_e --> 
METSOXR1_num1,0.0,9516.09821,101.4054,93.84212488,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
METSOXR2_num1,0.0,9462.184355,48.0499,196.9241217,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
DAPAL,0.0,33933.614669999995,86.6551,391.5939705,23dappa_c + h2o_c --> 2.0 nh4_c + pyr_c
AMPTASECG_num1,0.0,81038.05956000001,277.08099999999996,292.4706478,cgly_c + h2o_c --> cys__L_c + gly_c
EX_imp_e,0.0,,,,imp_e --> 
DOPAtex_num1,0.0,,,,dopa_e --> dopa_p
4HOXPACDtex_num1,0.0,,,,4hoxpacd_e --> 4hoxpacd_p
LACZpp,0.0,21454.23258,83.46,257.0600597,h2o_p + lcts_p --> gal_p + glc__D_p
GPDDA1pp,0.0,37449.60109,81.6867,458.4540824,g3pc_p + h2o_p --> chol_p + glyc3p_p + h_p
GPDDA5pp,0.0,28550.56261,81.6867,349.5129882,g3pi_p + h2o_p --> glyc3p_p + h_p + inost_p
ETHAtex_num1,0.0,,,,etha_e --> etha_p
G3PStex_num1,0.0,,,,g3ps_e --> g3ps_p
FEENTERR2,0.0,,,,2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c
FLVR_num1,0.0,11168.07223,26.241999999999997,425.58007130000004,h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c
FE3HOXR1,0.0,,,,fadh2_c + 2.0 fe3hox_c --> fad_c + 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c
FEENTERexs,0.0,,,,enter_e + fe3_e --> feenter_e
FE3HOXexs,0.0,,,,fe3_e + fe3hox_un_e --> fe3hox_e
