,fluxes,kcat,MW,kcat_MW,enz,equ
TYROXDApp,0,12377.02951,168.7573,73.34218733,0,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p
NTRIR4pp,0,752249.2273,134.0271,5612.665105,0,2.0 h_p + 3.0 mql8_c + no2_p --> 2.0 h2o_p + 3.0 mqn8_c + nh4_p
NTRIR3pp,0,1003797.469,134.0271,7489.511218,0,2.0 h_p + no2_p + 3.0 q8h2_c --> 2.0 h2o_p + nh4_p + 3.0 q8_c
AGM3PA,0,24213.93207,20.5362,1179.085326,0,anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
ACANTHAT,0,14042.58626,64.5492,217.5485716,0,accoa_c + anth_c --> acanth_c + coa_c
METSOXR1_num1,0,9516.09821,101.4054,93.84212488,0,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
METSOXR2_num1,0,9462.184355,48.0499,196.9241217,0,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
DAPAL,0,33933.61467,86.6551,391.5939705,0,23dappa_c + h2o_c --> 2.0 nh4_c + pyr_c
AMPTASECG_num1,0,81038.05956,277.081,292.4706478,0,cgly_c + h2o_c --> cys__L_c + gly_c
LACZpp,0,21454.23258,83.46,257.0600597,0,h2o_p + lcts_p --> gal_p + glc__D_p
GPDDA1pp,0,37449.60109,81.6867,458.4540824,0,g3pc_p + h2o_p --> chol_p + glyc3p_p + h_p
GPDDA5pp,0,28550.56261,81.6867,349.5129882,0,g3pi_p + h2o_p --> glyc3p_p + h_p + inost_p
FLVR_num1,0,11168.07223,26.242,425.5800713,0,h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c
FDMO2,0,9825.639001,166.9451,58.85550999,0,fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
LALGP,0,231021.2838,105.8308,2182.930525,0,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c
AGM4PApp_num1,0,24410.50695,31.4121,777.1052222,0,anhgm4p_p + h2o_p --> LalaDgluMdapDala_p + anhgm_p
AGM4PA,0,20099.44301,20.5362,978.7323366,0,anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c
RNDR3b_num1,0,19613.29221,258.1947,75.96318673,0,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c
RNDR4b_num1,0,173713.9787,259.602,669.1550092,0,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c
UDPGALPpp,0,15095.45394,60.824,248.1825256,0,h2o_p + udpgal_p --> gal1p_p + 2.0 h_p + ump_p
UACGAMPpp,0,11672.57338,60.824,191.9073619,0,h2o_p + uacgam_p --> acgam1p_p + 2.0 h_p + ump_p
UACGALPpp,0,13846.87087,60.824,227.654723,0,h2o_p + udpacgal_p --> acgal1p_p + 2.0 h_p + ump_p
UGLCURPpp,0,14359.62176,60.824,236.0847981,0,h2o_p + udpglcur_p --> glcur1p_p + 2.0 h_p + ump_p
FEROpp_num1,0,9485.933332,56.5562,167.7257901,0,4.0 fe2_p + 4.0 h_p + o2_p --> 4.0 fe3_p + 2.0 h2o_p
AM4PCP,0,54473.38639,33.5675,1622.801412,0,anhm4p_c + h2o_c --> ala__D_c + anhm3p_c
AM3PA,0,9367.161455,20.5362,456.1292476,0,anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c
UM4PCP,0,9321.330906,33.5675,277.6891608,0,h2o_c + um4p_c --> ala__D_c + ugmd_c
CBLAT,0,9949.384616,21.9989,452.2673686,0,atp_c + cbl1_c + h_c --> adocbl_c + pppi_c
TDP,0,157841.5063,17.4329,9054.231155,0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c
3PEPTabcpp_num1,0,26082.63514,206.8469,126.0963309,0,LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c
4PEPTabcpp_num1,0,49599.60815,201.75,245.8468805,0,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c
AGM3Pt2pp,0,14196.18975,53.2452,266.619146,0,anhgm3p_p + h_p --> anhgm3p_c + h_c
AGM4Pt2pp,0,37678.09115,53.2452,707.6335735,0,anhgm4p_p + h_p --> anhgm4p_c + h_c
AGMt2pp,0,34185.31625,53.2452,642.0356436,0,anhgm_p + h_p --> anhgm_c + h_c
FEOXAMR1,0,26079.92347,30.1128,866.0743428,0,fadh2_c + 2.0 feoxam_c --> fad_c + 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c
FEOXAMR2,0,10115.68801,30.1128,335.9265166,0,2.0 feoxam_c + fmnh2_c --> 2.0 fe2_c + 2.0 feoxam_un_c + fmn_c + 2.0 h_c
FEOXAMR3,0,57714.15197,30.1128,1916.598655,0,2.0 feoxam_c + rbflvrd_c --> 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c + ribflv_c
PTHRpp_num1,0,21548.48395,104.4142,206.3750328,0,h2o_p + thrp_p --> pi_p + thr__L_p
ARABDI,0,86322.63719,389.86,221.4195793,0,arab__D_c --> rbl__D_c
R5PPpp_num1,0,23570.47054,104.4142,225.7400865,0,h2o_p + r5p_p --> pi_p + rib__D_p
PSP_Lpp_num1,0,23226.39009,104.4142,222.444745,0,h2o_p + pser__L_p --> pi_p + ser__L_p
TYRPpp,0,9537.079284,104.4142,91.33891065,0,h2o_p + tyrp_p --> pi_p + tyr__L_p
PAPSR2_num1,0,25460.24801,80.3019,317.0566078,0,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c
GRXR_num1,0,11950.26729,25.7575,463.9529182,0,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c
RNDR1b_num1,0,22837.66644,243.5294,93.77786189,0,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c
RNDR2b_num1,0,27735.00971,259.602,106.8366565,0,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c
FACOAE181,0,28297.73827,127.8653,221.3089733,0,h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c
FACOAE160,0,129600,127.8653,1013.56662,0,h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
FACOAE140,0,63347.75856,127.8653,495.4257219,0,h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c
AAMYL,0,23490.41652,56.6394,414.7363235,0,14glucan_c --> malthx_c
AAMYLpp,0,49598.11858,75.7127,655.0832103,0,14glucan_p --> malthx_p
FACOAL80t2pp_num1,0,17459.32014,124.664,140.0510183,0,atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c
PPGPPDP,0,90720.84686,79.3424,1143.409411,0,h2o_c + ppgpp_c --> gdp_c + ppi_c
23PDE2pp,0,52628.11949,70.8322,742.9971043,0,23cump_p + h2o_p --> 3ump_p + h_p
23PDE4pp,0,48310.69378,70.8322,682.0442367,0,23ccmp_p + h2o_p --> 3cmp_p + h_p
23PDE9pp,0,43543.38935,70.8322,614.7400384,0,23cgmp_p + h2o_p --> 3gmp_p + h_p
SARCOX,0,18240.21953,40.902,445.9493308,0,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c
MN6PP_num1,0,11553.01474,29.7211,388.714238,0,h2o_c + man6p_c --> man_c + pi_c
3KGK,0,46839.28669,110.3097,424.6162095,0,3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c
F6PP_num1,0,18699.03043,23.0075,812.7363003,0,f6p_c + h2o_c --> fru_c + pi_c
GDPMNH,0,111348.1079,36.547,3046.709932,0,gdpmann_c + h2o_c --> gdp_c + h_c + man_c
FACOAL60t2pp_num1,0,24310.91002,124.664,195.011471,0,atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c
GDPDPK_num1,0,40330.37894,83.8756,480.8356535,0,atp_c + gdp_c --> amp_c + h_c + ppgpp_c
R15BPK,0,17862.19588,20.7296,861.6758587,0,atp_c + r15bp_c --> adp_c + prpp_c
GGPTRCS,0,10428.39012,638.1259,16.34221416,0,atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c
FRULYSDG,0,41650.55762,462.8308,89.99089434,0,frulysp_c + h2o_c --> g6p_c + lys__L_c
ASNNpp,0,56027.20568,147.4028,380.095939,0,asn__L_p + h2o_p --> asp__L_p + nh4_p
GLUNpp,0,20661.07493,147.4028,140.1674522,0,gln__L_p + h2o_p --> glu__L_p + nh4_p
NTD12_num1,0,9521.232462,25.3988,374.8693821,0,dimp_c + h2o_c --> din_c + pi_c
DNTPPA_num1,0,9493.606192,17.3058,548.5794469,0,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c
NTPP9,0,219466.3262,42.0777,5215.739601,0,h2o_c + itp_c --> h_c + imp_c + ppi_c
NTPP10,0,25719.40426,42.0777,611.2359815,0,ditp_c + h2o_c --> dimp_c + h_c + ppi_c
NTPP11,0,9764.884213,42.0777,232.0679175,0,h2o_c + xtp_c --> h_c + ppi_c + xmp_c
NTD10pp_num1,0,16669.85067,104.4142,159.6511841,0,h2o_p + xmp_p --> pi_p + xtsn_p
NTD1pp_num1,0,18062.0881,60.824,296.9565977,0,dump_p + h2o_p --> duri_p + pi_p
NTD2pp_num1,0,28742.74164,60.824,472.555926,0,h2o_p + ump_p --> pi_p + uri_p
NTD3pp_num1,0,17056.30725,60.824,280.4206769,0,dcmp_p + h2o_p --> dcyt_p + pi_p
NTD4pp_num1,0,16503.42699,104.4142,158.0573044,0,cmp_p + h2o_p --> cytd_p + pi_p
NTD5pp_num1,0,18932.08788,104.4142,181.317176,0,dtmp_p + h2o_p --> pi_p + thymd_p
NTD6pp_num1,0,18118.8497,60.824,297.8898083,0,damp_p + h2o_p --> dad_2_p + pi_p
NTD7pp_num1,0,16283.31909,104.4142,155.9492779,0,amp_p + h2o_p --> adn_p + pi_p
NTD9pp_num1,0,17969.26403,104.4142,172.0959796,0,gmp_p + h2o_p --> gsn_p + pi_p
PEAMNOpp,0,25099.97591,168.7573,148.7341639,0,h2o_p + o2_p + peamn_p --> h2o2_p + nh4_p + pacald_p
GAL1PPpp,0,49931.64198,91.3658,546.5025423,0,gal1p_p + h2o_p --> gal_p + pi_p
ARGDCpp,0,11541.49804,295.5938,39.04512896,0,arg__L_p + h_p --> agm_p + co2_p
ALLPI,0,19201.33747,32.1466,597.3053906,0,all6p_c --> allul6p_c
ALLK,0,23208.86213,33.8209,686.2284011,0,all__D_c + atp_c --> adp_c + all6p_c + h_c
ALLULPE,0,28397.97262,26.1092,1087.661538,0,allul6p_c --> f6p_c
FACOAL100t2pp_num1,0,19405.05356,124.664,155.6588394,0,atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c
GPDDA3pp,0,36706.06811,81.6867,449.3518297,0,g3ps_p + h2o_p --> glyc3p_p + h_p + ser__L_p
GPDDA4pp,0,41144.26043,81.6867,503.6837139,0,g3pg_p + h2o_p --> glyc3p_p + glyc_p + h_p
GPDDA2pp,0,41162.26921,81.6867,503.9041755,0,g3pe_p + h2o_p --> etha_p + glyc3p_p + h_p
FACOAL120t2pp_num1,0,19622.55997,60.7731,322.8823274,0,atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c
FACOAL140t2pp_num1,0,15392.79644,60.7731,253.2830552,0,atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c
HCYSMT2,0,9603.528682,33.4228,287.3346542,0,hcys__L_c + mmet_c --> h_c + 2.0 met__L_c
DHPTPE,0,17759.95224,112.6563,157.6472176,0,ahdt_c --> dhmptp_c
NADPHQR2,0,27721.05118,43.7818,633.1638073,0,h_c + nadph_c + q8_c --> nadp_c + q8h2_c
NADPHQR3,0,30528.29321,43.7818,697.2827341,0,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c
NADPHQR4,0,16809.95379,43.7818,383.9484395,0,2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c
GLBRAN2,0,221256.5004,84.3369,2623.483913,0,glycogen_c --> bglycogen_c
ASR,0,16666.55749,40.2035,414.5548893,0,aso4_c + 2.0 gthrd_c --> aso3_c + gthox_c + h2o_c
ECAtpp,0,86843.56536,44.9597,1931.586851,0,unagamuf_c --> unagamuf_p
O16AT,0,23247.17566,21.6751,1072.529108,0,accoa_c + ragund_c --> aragund_c + coa_c
O16GALFT,0,22063.75587,37.7572,584.3589003,0,garagund_c + udpgalfur_c --> gfgaragund_c + h_c + udp_c
O16AUNDtpp,0,56567.01265,45.3826,1246.447155,0,o16aund_c --> o16aund_p
O16AP1pp,0,18394.40465,81.199,226.5348668,0,2.0 o16aund_p --> h_p + o16a2und_p + udcpdp_p
AGM4PCP,0,46441.37344,33.5675,1383.521961,0,anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c
4PCP,0,27706.1783,33.5675,825.3870053,0,LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c
4PCPpp,0,37289.77556,21.0399,1772.336159,0,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p
FALDH2,0,29317.27206,78.718,372.4341581,0,hmgth_c + nad_c --> Sfglutth_c + h_c + nadh_c
CBIAT,0,17689.46963,21.9989,804.1070067,0,atp_c + cbi_c + h_c --> adocbi_c + pppi_c
PPDOy,0,27609.90566,37.9784,726.989701,0,h_c + lald__D_c + nadph_c --> 12ppd__R_c + nadp_c
NTD12pp_num1,0,17007.54339,60.824,279.6189562,0,dimp_p + h2o_p --> din_p + pi_p
PPA2_num1,0,9737.917049,116.2719,83.75125072,0,h2o_c + pppi_c --> h_c + pi_c + ppi_c
3NTD7pp_num1,0,55966.42332,70.8322,790.1268536,0,3amp_p + h2o_p --> adn_p + pi_p
3NTD4pp_num1,0,46917.55912,98.8772,474.5033144,0,3cmp_p + h2o_p --> cytd_p + pi_p
3NTD2pp_num1,0,44836.48256,70.8322,632.9957641,0,3ump_p + h2o_p --> pi_p + uri_p
3NTD9pp_num1,0,39469.58003,70.8322,557.226516,0,3gmp_p + h2o_p --> gsn_p + pi_p
23PDE7pp,0,57434.65448,70.8322,810.8551546,0,23camp_p + h2o_p --> 3amp_p + h_p
ACONMT,0,176845.203,29.006,6096.849031,0,acon_T_c + amet_c --> aconm_c + ahcys_c
GNK_num1,0,26754.97352,39.0866,684.5050099,0,atp_c + glcn_c --> 6pgc_c + adp_c + h_c
RMK,0,33912.96639,54.069,627.2164529,0,atp_c + rml_c --> adp_c + h_c + rml1p_c
FHL_num1,0,166094.0433,467.4248,355.3385342,0,for_c + h_c --> co2_c + h2_c
GLUDy,0,180117.9189,291.4882,617.9252501,0,glu__L_c + h2o_c + nadp_c --> akg_c + h_c + nadph_c + nh4_c
GLYCLTDy_num1,0,62636.42448,35.3434,1772.224078,0,glx_c + h_c + nadph_c --> glyclt_c + nadp_c
LYSDC_num1,0,11370.9205,805.903,14.10953986,0,h_c + lys__L_c --> 15dap_c + co2_c
DAAD,0,27473.02376,95.2146,288.5379318,0,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c
NTPP5_num1,0,21294.56777,17.3058,1230.487338,0,datp_c + h2o_c --> damp_c + h_c + ppi_c
NTD3_num1,0,11259.28806,45.4161,247.914023,0,dcmp_c + h2o_c --> dcyt_c + pi_c
GLYOX,0,10623.00336,28.4344,373.5968883,0,h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c
MTRPOX,0,11031.88203,40.902,269.714978,0,Nmtrp_c + h2o_c + o2_c --> fald_c + h2o2_c + trp__L_c
AGM4PCPpp,0,34105.01658,21.0399,1620.968568,0,anhgm4p_p + h2o_p --> ala__D_p + anhgm3p_p
GTPDPDP,0,11616.65916,109.7423,105.8539794,0,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c
RNDR2_num1,0,10997.84578,270.3917,40.67375507,0,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c
XAND,0,65517.63512,129.7994,504.7606932,0,h2o_c + nad_c + xan_c --> h_c + nadh_c + urate_c
HACD3_num1,0,39593.4512,159.1878,248.7216432,0,3oocoa_c + h_c + nadh_c --> 3hocoa_c + nad_c
NNDMBRT,0,31557.09164,73.974,426.5970698,0,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c
THRA2_num1,0,17869.47753,90.6332,197.1626019,0,athr__L_c --> acald_c + gly_c
PPK,0,29958.53743,160.863,186.2363466,0,atp_c + pi_c --> adp_c + ppi_c
ABUTD,0,38704.04507,203.32,190.3602453,0,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c
E4PD_num1,0,9322.452155,149.1976,62.48392839,0,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c
DADK,0,15176.86818,23.586,643.4693539,0,atp_c + damp_c --> adp_c + dadp_c
DUTPDP_num1,0,13211.96805,48.4664,272.6005655,0,dutp_c + h2o_c --> dump_c + h_c + ppi_c
NTP5,0,30671.51304,39.1933,782.5703128,0,ctp_c + h2o_c --> cdp_c + h_c + pi_c
MTAN,0,9431.398224,48.7079,193.6317974,0,5mta_c + h2o_c --> 5mtr_c + ade_c
THRD_L_num1,0,57035.45056,224.781,253.7378629,0,thr__L_c --> 2obut_c + nh4_c
NAMNPP,0,9308.69978,45.8973,202.8158471,0,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c
SELNPS,0,91807.86884,73.3745,1251.223093,0,atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c
CRNCAR,0,203054.0799,28.1902,7203.002458,0,crncoa_c --> crnDcoa_c
ANHMK,0,21852.99274,39.4963,553.2921499,0,anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c
DHFR_num1,0,17578.90389,26.3483,667.1741209,0,dhf_c + h_c + nadph_c --> nadp_c + thf_c
TYRTA_num1,0,69547.95976,87.1467,798.0561485,0,akg_c + tyr__L_c --> 34hpp_c + glu__L_c
SHKK_num1,0,61262.15929,19.538,3135.538913,0,atp_c + skm_c --> adp_c + h_c + skm5p_c
SADH,0,62717.07204,98.5971,636.09449,0,2.0 h2o_c + 2.0 h_c + sucarg_c --> co2_c + 2.0 nh4_c + sucorn_c
GLUSy,0,135501.647,861.249,157.331558,0,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c
GUAPRT_num1,0,17179.19996,80.461,213.5096501,0,gua_c + prpp_c --> gmp_c + ppi_c
DMSOR2pp,0,79462.90645,129.2504,614.7981472,0,2dmmql8_c + dmso_p --> 2dmmq8_c + dms_p + h2o_p
HYD3pp_num1,0,29005.97007,482.9335,60.06203767,0,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_p
NO3R1pp_num1,0,401469.1895,250.963,1599.714657,0,2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_p + no2_c + q8_c
AACPS5,0,9300.08354,89.3395,104.0982269,0,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
NTD8_num1,0,9939.384184,25.3988,391.3328261,0,dgmp_c + h2o_c --> dgsn_c + pi_c
GALCTD,0,72941.9405,56.4016,1293.260129,0,galct__D_c --> 5dh4dglc_c + h2o_c
MLTG4,0,40858.37928,69.041,591.7987758,0,h2o_c + malthx_c --> glc__D_c + maltpt_c
UDPGDC,0,10429.01417,445.7333,23.39743109,0,nad_c + udpglcur_c --> co2_c + nadh_c + udpLa4o_c
PUNP4_num1,0,15875.68535,179.0077,88.68716457,0,dgsn_c + pi_c --> 2dr1p_c + gua_c
NTD11pp_num1,0,16148.02293,60.824,265.4876846,0,h2o_p + imp_p --> ins_p + pi_p
DKGLCNR2x,0,19157.06075,70.791,270.6143542,0,25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c
PDE1_num1,0,123619.6494,180.5208,684.7944913,0,camp_c + h2o_c --> amp_c + h_c
MCITD,0,37457.91464,53.9518,694.2847994,0,2mcit_c --> 2mcacn_c + h2o_c
GLCATr,0,10408.43895,60.288,172.6452851,0,accoa_c + glc__D_c --> acglc__D_c + coa_c
ACACT1r_num1,0,64745.49694,46.5305,1391.463598,0,2.0 accoa_c --> aacoa_c + coa_c
G2PPpp_num1,0,26350.74038,104.4142,252.3674019,0,glyc2p_p + h2o_p --> glyc_p + pi_p
AGM3PApp_num1,0,23614.90817,45.6344,517.4804132,0,anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p
NTP1_num1,0,27027.32662,61.9863,436.0209695,0,atp_c + h2o_c --> adp_c + h_c + pi_c
GALKr,0,44343.2048,41.4421,1070.003808,0,atp_c + gal_c --> adp_c + gal1p_c + h_c
YUMPS,0,17972.16522,98.7297,182.0340305,0,r5p_c + ura_c --> h2o_c + psd5p_c
SERD_D,0,27507.13332,47.9006,574.2544628,0,ser__D_c --> nh4_c + pyr_c
PFK_num1,0,1000800,139.3682,7180.978157,0,atp_c + f6p_c --> adp_c + fdp_c + h_c
PGM_num1,0,164087.7094,57.1128,2873.046137,0,2pg_c --> 3pg_c
RPI_num1,0,71002.38272,45.7208,1552.955826,0,r5p_c --> ru5p__D_c
PERD,0,72,82.7353,0.870245228,0,4per_c + nad_c --> h_c + nadh_c + ohpb_c
PYDAMK,0,9300.695926,61.6948,150.75332,0,atp_c + pydam_c --> adp_c + h_c + pyam5p_c
FADRx2,0,51368.76695,530.1587,96.89318868,0,fad_c + h_c + nadph_c --> fadh2_c + nadp_c
PDE4,0,64875.80671,180.5208,359.3813384,0,35cgmp_c + h2o_c --> gmp_c + h_c
AGM4PH,0,9954.435204,37.5947,264.7829403,0,anhgm4p_c + h2o_c --> acgam_c + anhm4p_c
AM4PA,0,20712.18859,20.5362,1008.569676,0,anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c
ATHRDHr,0,13509.71589,108.9957,123.9472373,0,athr__L_c + nadp_c --> 2aobut_c + h_c + nadph_c
LSERDHr,0,14125.37111,108.9957,129.5956731,0,nadp_c + ser__L_c --> 2amsa_c + h_c + nadph_c
DSERDHr,0,15835.52183,108.9957,145.2857482,0,nadp_c + ser__D_c --> 2amsa_c + h_c + nadph_c
OBTFL_num1,0,21920.42484,198.9187,110.1979092,0,2obut_c + coa_c --> for_c + ppcoa_c
G6PP_num1,0,9870.743437,29.7077,332.2621218,0,g6p_c + h2o_c --> glc__D_c + pi_c
MMCD,0,22988.03684,175.0355,131.3335686,0,h_c + mmcoa__S_c --> co2_c + ppcoa_c
GTHS,0,42649.46597,142.2436,299.8339888,0,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c
UDPKAAT,0,10842.16108,41.6498,260.3172423,0,glu__L_c + udpLa4o_c --> akg_c + udpLa4n_c
ULA4NFT,0,14287.53528,445.7333,32.05400018,0,10fthf_c + udpLa4n_c --> h_c + thf_c + udpLa4fn_c
UPLA4FNT,0,32384.40508,36.3391,891.1724583,0,udcpp_c + udpLa4fn_c --> uLa4fn_c + udp_c
UPLA4FNF,0,772257.6065,33.1118,23322.73107,0,h2o_c + uLa4fn_c --> for_c + uLa4n_c
ULA4Ntppi,0,36865.93205,26.2771,1402.968062,0,uLa4n_c --> uLa4n_p
HEPT1,0,10345.03235,35.5438,291.0502633,0,adphep_LD_c + lipa_c --> adp_c + h_c + hlipa_c
ALR2_num1,0,10013.59023,30.9866,323.1587276,0,h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c
AMALT2,0,43134.18746,78.5035,549.455597,0,malt_c + maltttr_c --> glc__D_c + maltpt_c
MLTP1,0,24684.35694,181.0448,136.3439156,0,maltpt_c + pi_c --> g1p_c + maltttr_c
HEPT2,0,10836.90288,39.0421,277.5696717,0,adphep_LD_c + hlipa_c --> adp_c + h_c + hhlipa_c
MOAT3C,0,11125.6214,32.9201,337.9583112,0,ckdo_c + phphhlipa_c --> cmp_c + h_c + kphphhlipa_c
RHAT1,0,34002.42145,36.7305,925.72716,0,dtdprmn_c + kphphhlipa_c --> dtdp_c + h_c + icolipa_c
GALT1,0,95078.50661,40.8259,2328.877174,0,gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c
GLCTR2,0,15230.70238,39.4232,386.3385616,0,gagicolipa_c + udpg_c --> ggagicolipa_c + h_c + udp_c
UDPGPpp,0,13977.35334,60.824,229.7999694,0,h2o_p + udpg_p --> g1p_p + 2.0 h_p + ump_p
ADNK1,0,28.8,23.586,1.221063343,0,adn_c + atp_c --> adp_c + amp_c + h_c
HEPK1,0,20974.87796,30.8723,679.4076878,0,atp_c + hhlipa_c --> adp_c + h_c + phhlipa_c
HEPT3,0,22408.29661,38.7307,578.5667858,0,adphep_LD_c + phhlipa_c --> adp_c + h_c + hphhlipa_c
HEPK2,0,26010.86203,27.461,947.19282,0,atp_c + hphhlipa_c --> adp_c + h_c + phphhlipa_c
ALDD3y_num1,0,23752.9732,36.5018,650.734298,0,h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c
R5PP_num1,0,9881.341639,23.0075,429.4835006,0,h2o_c + r5p_c --> pi_c + rib__D_c
CYSSADS_num1,0,13159.47439,86.4684,152.188249,0,3sala_c + 2.0 h_c --> ala__L_c + so2_c
CPPPGO2,0,9383.577178,52.729,177.9585651,0,2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c
AGM3PH,0,9954.457142,37.5947,264.7835238,0,anhgm3p_c + h2o_c --> acgam_c + anhm3p_c
LDH_D2,0,11899.87868,64.6123,184.1735812,0,lac__D_c + q8_c --> pyr_c + q8h2_c
SUCBZL,0,16127.31824,200.7387,80.33985594,0,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c
CYSDDS,0,27651.34377,70.3066,393.2965578,0,cys__D_c + h2o_c --> h2s_c + nh4_c + pyr_c
NTP10_num1,0,10200.0983,39.1933,260.251071,0,h2o_c + itp_c --> h_c + idp_c + pi_c
GDMANE,0,130011.786,72.2823,1798.666977,0,gdpddman_c --> gdpofuc_c
GPDDA4,0,9300.271378,27.4096,339.3070814,0,g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c
LPLIPAL2E140,0,9300.115008,38.9783,238.5972453,0,2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c
LPLIPAL2E180,0,21392.64662,38.9783,548.8347778,0,2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c
LPLIPAL2G161,0,11808.07575,38.9783,302.9397319,0,2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c
LPLIPAL2G181,0,10096.07048,38.9783,259.0177222,0,2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c
AACPS6,0,16920.24286,89.3395,189.3926299,0,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c
AACPS7,0,19220.43512,89.3395,215.1392734,0,ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c
QMO2,0,24600.84318,23.0648,1066.596857,0,2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
QMO3,0,33447.80076,23.0648,1450.16652,0,mql8_c + 2.0 o2_c --> 2.0 h_c + mqn8_c + 2.0 o2s_c
LPLIPAL2E141,0,9300.051788,38.9783,238.5956234,0,2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
LPLIPAL2E161,0,10543.91586,38.9783,270.50733,0,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c
LPLIPAL2E181,0,9300.052674,38.9783,238.5956461,0,2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c
LPLIPAL2G180,0,10096.05001,38.9783,259.017197,0,2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c
